StudyID,ArticleCounter,ExperimentCounter,No.,CoderID,ArticleID,StudyNo,StudyType,Experimental_Drug,Manipulation,EffectSizeID,Year,PublicationStatus,PublicationType,Journal,Title,Author,CorrespondenceEmail,DOI,ArticleSource,CountryofOrigin,Continent,SampleNo,SampleSize,Female,FemaleRatio,MeanAge,StudyDesign,IBASampleInfo,IBASampleRandomization,IBAInclusion,IBAExclusion,IBAManipulationInfo,IBADVInfo,IBABaselineTraumaHistory,IBADiaryCodingReliability,IBAAnalysisPlan,IBAPeerReviewed,IBATraumaManipulationCheck,TotalIBAScore,StatExtracted,ExperimentalCondition,Level1_ExperimentalCondition,Intrusion_Predicted_Direction,ComparisonCondition,Level1_ComparisonCondition,Level2_final,Level3_Type_final,Level3_Task_Instruction_final,ComparisonType,ExperimentalConditionSampleSize,ComparisonConditionSampleSize,StudySampleSize,TimeOfManipulation,TraumaInductionStimuli,EncodingTask,StimuliNo.,StimuliDuration,DependentVariables,DependentVariablesType,DVTask,ModeOfMeasurement,TimeOfMeasurement,MeasurementDuration,Intrusion_Retro_or_RealTime,Intrusion_Content,ManipulationBeneficial,ResultSummary,PhysioMeasures,ClinicalSymptomMeasures,VoluntaryMemoryMeasure,VoluntaryMemoryDirection,Experimental_Mean,Experimental_SE,Experimental_SD,Comparison_Mean,Comparison_SE,Comparison_SD,GroupDifference,T-test,Z-test,pvalue,EffectSize,EffectSizeType,Notes,Mo_Windy_Common,Notes_fromWindy,DirectionSign,DirectionSignMo,TraumaStimuliType,Physio_binary,Level3_Beh_Pharma_Neuro,Level3_Direct_Indirect,Level3_Imagery_Verbal_Emotion_Other,Level3_Task_Instruction
20,,,87,MMV & SZ,15,1,Behavioural,NA,Suppression,87,2009,Published,Journal Article,MEMORY,does post-event cognitive load undermine thought suppression and increase intrusive memories after exposure to an analogue stressor?,"Nixon, Reginald D. V.; Cain, Neralie; Nehmy, Thomas; Seymour, Melanie",reg.nixon@flinders.edu.au,10.1080/09658210802592353,Web of Science,Australia,Australia,5,120,58,0.483333333,24.47,Between-subject,1,1,0,0,1,1,0,NA,0,1,1,6,"Table 2, page 250",Thought suppression,Thought suppression,Increase,No-task,No-Task,Thought suppression,Direct imagery,Instruction,No-Task,Not reported,Not reported,Not reported,Immediate Post,Trauma film,Trauma film,1,5min,Intrusion Frequency,Involuntary memory,Five-minute intrusion monitoring,Lab-based intrusion monitoring task,Same day post trauma film,5 minutes,Real Time,Not Reported,Null,Both conditions did not significantly in terms of lab intrusions.,NA,NA,Yes,Null,6.96,Not Reported,4.31,6.25,Not Reported,4.51,0.71,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,No,Behavioural,Direct,Imagery,Instruction
20,,,88,MMV & SZ,15,1,Behavioural,NA,Verbal cognitive load and suppression,88,2009,Published,Journal Article,MEMORY,does post-event cognitive load undermine thought suppression and increase intrusive memories after exposure to an analogue stressor?,"Nixon, Reginald D. V.; Cain, Neralie; Nehmy, Thomas; Seymour, Melanie",reg.nixon@flinders.edu.au,10.1080/09658210802592353,Web of Science,Australia,Australia,5,120,58,0.483333333,24.47,Between-subject,1,1,0,0,1,1,0,NA,0,1,1,6,"Table 2, page 250",Verbal cognitive load and thought suppression,Memorize numbers + Thought suppression,Increase,No-task,No-Task,Memorize numbers + Thought suppression,Indirect verbal + Direct imagery,Task+Instruction,No-Task,Not reported,Not reported,Not reported,Immediate Post,Trauma film,Trauma film,1,5min,Intrusion Frequency,Involuntary memory,Five-minute intrusion monitoring,Lab-based intrusion monitoring task,8th day post trauma film,5 minutes,Real Time,Not Reported,Null,Both conditions did not significantly in terms of lab intrusions.,NA,NA,Yes,Null,1.83,Not Reported,2.26,2.75,Not Reported,2.43,-0.92,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,No,Behavioural,Indirect + Direct,Verbal + Imagery,Task+Instruction
20,,,89,MMV & SZ,15,1,Behavioural,NA,Hyperventilation provocation test and suppression,89,2009,Published,Journal Article,MEMORY,does post-event cognitive load undermine thought suppression and increase intrusive memories after exposure to an analogue stressor?,"Nixon, Reginald D. V.; Cain, Neralie; Nehmy, Thomas; Seymour, Melanie",reg.nixon@flinders.edu.au,10.1080/09658210802592353,Web of Science,Australia,Australia,5,120,58,0.483333333,24.47,Between-subject,1,1,0,0,1,1,0,NA,0,1,1,6,"Table 2, page 250",Hyperventilation provocation test and thought suppression,Hyperventilation provocation + Thought suppression,Increase,No-task,No-Task,Hyperventilation provocation + Thought suppression,Indirect other + Direct imagery,Task+Instruction,No-Task,Not reported,Not reported,Not reported,Immediate Post,Trauma film,Trauma film,1,5min,Intrusion Frequency,Involuntary memory,Five-minute intrusion monitoring,Lab-based intrusion monitoring task,8th day post trauma film,5 minutes,Real Time,Not Reported,Null,Both conditions did not significantly in terms of lab intrusions.,NA,NA,Yes,Null,3.17,Not Reported,4.2,2.75,Not Reported,2.43,0.42,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,No,Behavioural,Indirect + Direct,Other + Imagery,Task+Instruction
20,,,90,MMV & SZ,15,1,Behavioural,NA,Block rehersal task and suppression,90,2009,Published,Journal Article,MEMORY,does post-event cognitive load undermine thought suppression and increase intrusive memories after exposure to an analogue stressor?,"Nixon, Reginald D. V.; Cain, Neralie; Nehmy, Thomas; Seymour, Melanie",reg.nixon@flinders.edu.au,10.1080/09658210802592353,Web of Science,Australia,Australia,5,120,58,0.483333333,24.47,Between-subject,1,1,0,0,1,1,0,NA,0,1,1,6,"Table 2, page 250",Block rehearsal task and thought suppression,Block rehearsal + Thought suppression,Increase,No-task,No-Task,Block rehearsal + Thought suppression,Indirect imagery + Direct imagery,Task+Instruction,No-Task,Not reported,Not reported,Not reported,Immediate Post,Trauma film,Trauma film,1,5min,Intrusion Frequency,Involuntary memory,Five-minute intrusion monitoring,Lab-based intrusion monitoring task,8th day post trauma film,5 minutes,Real Time,Not Reported,Null,Both conditions did not significantly in terms of lab intrusions.,NA,NA,Yes,Null,2.54,Not Reported,2.23,2.75,Not Reported,2.43,-0.21,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,No,Behavioural,Indirect + Direct,Imagery,Task+Instruction
20,,,91,MMV & SZ,15,1,Behavioural,NA,Suppression,91,2009,Published,Journal Article,MEMORY,does post-event cognitive load undermine thought suppression and increase intrusive memories after exposure to an analogue stressor?,"Nixon, Reginald D. V.; Cain, Neralie; Nehmy, Thomas; Seymour, Melanie",reg.nixon@flinders.edu.au,10.1080/09658210802592353,Web of Science,Australia,Australia,5,120,58,0.483333333,24.47,Between-subject,1,1,0,0,1,1,0,NA,0,1,1,6,"Table 2, page 250",Thought suppression,Thought suppression,Increase,No-task,No-Task,Thought suppression,Direct imagery,Instruction,No-Task,Not reported,Not reported,Not reported,Immediate Post,Trauma film,Trauma film,1,5min,Intrusion Frequency,Involuntary memory,Five-minute intrusion monitoring,Lab-based intrusion monitoring task,8th day post trauma film,5 minutes,Real Time,Not Reported,Null,Both conditions did not significantly in terms of lab intrusions.,NA,NA,Yes,Null,1.42,Not Reported,1.41,2.75,Not Reported,2.43,-1.33,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,No,Behavioural,Direct,Imagery,Instruction
21,1,1,92,MMV & SZ,16,1,Behavioural,NA,Abstract ruminative thinking,92,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Concrete thinking,Concrete processing,Decrease,Abstract ruminative thinking,Film-related rumination,Concrete processing vs. Film-related rumination,Direct Verbal,Task,Experimental Task,28,28,56,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Intrusion Frequency,Involuntary memory,Intrusions questionnaire (NO REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of lab intrusions.,HR,NA,No,NA,2.93,Not Reported,4.08,3.68,Not Reported,3.66,-0.75,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,93,MMV & SZ,16,1,Behavioural,NA,Concrete thinking,93,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Concrete thinking,Concrete processing,Decrease,Distraction,Control (irrelevant word and reading task),Concrete processing,Direct Verbal,Task,Experimental Task,28,27,55,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Intrusion Frequency,Involuntary memory,Intrusions questionnaire (NO REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of lab intrusions.,HR,NA,No,NA,2.93,Not Reported,4.08,4.11,Not Reported,6.96,-1.18,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,94,MMV & SZ,16,1,Behavioural,NA,Distraction,94,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Abstract ruminative thinking,Film-related rumination,Unspecified,Distraction,Control (irrelevant word and reading task),Film-related rumination,Direct Verbal,Task,Experimental Task,28,27,55,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Intrusion Frequency,Involuntary memory,Intrusions questionnaire (NO REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of lab intrusions.,HR,NA,No,NA,3.68,Not Reported,3.66,4.11,Not Reported,6.96,-0.43,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,95,MMV & SZ,16,1,Behavioural,NA,Abstract ruminative thinking,95,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Concrete thinking,Concrete processing,Decrease,Abstract ruminative thinking,Film-related rumination,Concrete processing vs. Film-related rumination,Direct Verbal,Task,Experimental Task,28,28,56,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Intrusion Frequency,Involuntary memory,Intrusions questionnaire (REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of lab intrusions.,HR,NA,No,NA,7.81,Not Reported,5.35,9.29,Not Reported,6.61,-1.48,Not Reported,NA,0.82,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,96,MMV & SZ,16,1,Behavioural,NA,Concrete thinking,96,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Concrete thinking,Concrete processing,Decrease,Distraction,Control (irrelevant word and reading task),Concrete processing,Direct Verbal,Task,Experimental Task,28,27,55,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Intrusion Frequency,Involuntary memory,Intrusions questionnaire (REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Positive,Concrete thinking had lower lab intrusion than distraction.,HR,NA,No,NA,7.81,Not Reported,5.35,12.31,Not Reported,14.48,-4.5,Not Reported,NA,< .05,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,97,MMV & SZ,16,1,Behavioural,NA,Distraction,97,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Abstract ruminative thinking,Film-related rumination,Unspecified,Distraction,Control (irrelevant word and reading task),Film-related rumination,Direct Verbal,Task,Experimental Task,28,27,55,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Intrusion Frequency,Involuntary memory,Intrusions questionnaire (REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of lab intrusions.,HR,NA,No,NA,9.29,Not Reported,6.61,12.31,Not Reported,14.48,-3.02,Not Reported,NA,0.09,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,98,MMV & SZ,16,1,Behavioural,NA,Abstract ruminative thinking,98,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Concrete thinking,Concrete processing,Decrease,Abstract ruminative thinking,Film-related rumination,Concrete processing vs. Film-related rumination,Direct Verbal,Task,Experimental Task,28,28,56,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Mean Emotional Distress,Emotion,Intrusions questionnaire (NO REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of intrusion distress,HR,NA,No,NA,31.11,Not Reported,29,35.36,Not Reported,28.74,-4.25,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,99,MMV & SZ,16,1,Behavioural,NA,Concrete thinking,99,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Concrete thinking,Concrete processing,Decrease,Distraction,Control (irrelevant word and reading task),Concrete processing,Direct Verbal,Task,Experimental Task,28,27,55,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Mean Emotional Distress,Emotion,Intrusions questionnaire (NO REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of intrusion distress,HR,NA,No,NA,31.11,Not Reported,29,20.19,Not Reported,24.67,10.92,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,100,MMV & SZ,16,1,Behavioural,NA,Distraction,100,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Abstract ruminative thinking,Film-related rumination,Unspecified,Distraction,Control (irrelevant word and reading task),Film-related rumination,Direct Verbal,Task,Experimental Task,28,27,55,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Mean Emotional Distress,Emotion,Intrusions questionnaire (NO REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of intrusion distress,HR,NA,No,NA,35.36,Not Reported,28.74,20.19,Not Reported,24.67,15.17,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,101,MMV & SZ,16,1,Behavioural,NA,Abstract ruminative thinking,101,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Concrete thinking,Concrete processing,Decrease,Abstract ruminative thinking,Film-related rumination,Concrete processing vs. Film-related rumination,Direct Verbal,Task,Experimental Task,28,28,56,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Mean Emotional Distress,Emotion,Intrusions questionnaire (REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of intrusion distress,HR,NA,No,NA,50.74,Not Reported,31.37,50.89,Not Reported,26.04,-0.15,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,102,MMV & SZ,16,1,Behavioural,NA,Concrete thinking,102,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Concrete thinking,Concrete processing,Decrease,Distraction,Control (irrelevant word and reading task),Concrete processing,Direct Verbal,Task,Experimental Task,28,27,55,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Mean Emotional Distress,Emotion,Intrusions questionnaire (REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of intrusion distress,HR,NA,No,NA,50.74,Not Reported,31.37,47.96,Not Reported,23.05,2.78,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
21,,,103,MMV & SZ,16,1,Behavioural,NA,Distraction,103,2009,Published,Journal Article,BEHAVIOUR RESEARCH AND THERAPY,an experimental analogue study into the role of abstract thinking in trauma-related rumination,"Ehring, Thomas; Szeimies, Anna-Kristina; Schaffrick, Christina",t.w.a.ehring@uva.nl,10.1016/j.brat.2008.12.011,Web of Science,Netherlands,Europe,3,83,56,0.674698795,24.08,Between-subject,1,1,1,1,1,1,0,NA,1,1,1,9,"Table 4, page 291",Abstract ruminative thinking,Film-related rumination,Unspecified,Distraction,Control (irrelevant word and reading task),Film-related rumination,Direct Verbal,Task,Experimental Task,28,27,55,Immediate Post,Trauma Film,Trauma Film,8,17 minutes,Mean Emotional Distress,Emotion,Intrusions questionnaire (REMINDER),Self-report questionnaire,Same day post trauma film,2 minutes,Retrospective,NA,Null,Both conditions did not significantly in terms of intrusion distress,HR,NA,No,NA,50.89,Not Reported,26.04,47.96,Not Reported,23.05,2.93,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusion content info Not Reported,1,,,,Film,Yes,Behavioural,Direct,Verbal,Task
22,1,1,104,MMV & SZ,17,1,Pharmacological,Alcohol,Low-dose alcohol,104,2010,Published,Journal Article,BIOLOGICAL PSYCHIATRY,acute effects of alcohol on intrusive memory development and viewpoint dependence in spatial memory support a dual representation model,"Bisby, James A.; King, John A.; Brewin, Chris R.; Burgess, Neil; Curran, H. Valerie",j.bisby@ucl.ac.uk.,10.1016/j.biopsych.2010.01.010,Web of Science,England,Europe,3,48,24,0.5,22.80667,Between-subject,1,1,1,1,1,1,1,0,1,1,1,10,"Figure 2, page 284",Low dose alcohol,Low dose alcohol,Increase,Placebo,Placebo,Low dose alcohol,Pharmacological,Task,Experimental Task,16,16,32,Pre,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Online diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image,Negative,Low-dose alcohol increased intrusion than placebo.,NA,NA,Yes,Negative,3.43,0.84,3.37,1.16,0.42,1.69,2.27,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusions of imagery and thought,1,,,,Film,No,Pharmacological,NA,NA,NA
22,,,105,MMV & SZ,17,1,Pharmacological,Alcohol,High-dose alcohol,105,2010,Published,Journal Article,BIOLOGICAL PSYCHIATRY,acute effects of alcohol on intrusive memory development and viewpoint dependence in spatial memory support a dual representation model,"Bisby, James A.; King, John A.; Brewin, Chris R.; Burgess, Neil; Curran, H. Valerie",j.bisby@ucl.ac.uk.,10.1016/j.biopsych.2010.01.010,Web of Science,England,Europe,3,48,24,0.5,22.80667,Between-subject,1,1,1,1,1,1,1,0,1,1,1,10,"Figure 2, page 284",High dose alcohol,High dose alcohol,Decrease,Placebo,Placebo,High dose alcohol,Pharmacological,Task,Experimental Task,16,16,32,Pre,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Online diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image,Null,Both conditions did not significantly in terms of diary intrusions.,NA,NA,Yes,Negative,1.88,0.41,1.64,1.16,0.42,1.69,0.72,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusions of imagery and thought,1,,,,Film,No,Pharmacological,NA,NA,NA
22,,,106,MMV & SZ,17,1,Pharmacological,Alcohol,Low-dose alcohol,106,2010,Published,Journal Article,BIOLOGICAL PSYCHIATRY,acute effects of alcohol on intrusive memory development and viewpoint dependence in spatial memory support a dual representation model,"Bisby, James A.; King, John A.; Brewin, Chris R.; Burgess, Neil; Curran, H. Valerie",j.bisby@ucl.ac.uk.,10.1016/j.biopsych.2010.01.010,Web of Science,England,Europe,3,48,24,0.5,22.80667,Between-subject,1,1,1,1,1,1,1,0,1,1,1,10,"Figure 2, page 284",Low dose alcohol,Low dose alcohol,Increase,High dose alcohol,High dose alcohol,Low vs. High Alcohol,Pharmacological,Task,Experimental Task,16,16,32,Pre,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Online diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image,Negative,Low-dose alcohol increased intrusion than high-dose alcohol.,NA,NA,Yes,Null,3.43,0.84,3.37,1.88,0.41,1.64,1.55,Not Reported,NA,Not Reported,Not Reported,Not Reported,Intrusions of imagery and thought,1,,,,Film,No,Pharmacological,NA,NA,NA
23,1,1,107,MMV & SZ,18,1,Behavioural,NA,Visuospatial tapping task,107,2010,Published,Journal Article,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,is it mere distraction? peri-traumatic verbal tasks can increase analogue flashbacks but reduce voluntary memory performance,"Bourne, Corin; Frasquilho, Francisco; Roth, Anthony D.; Holmes, Emily A.",emily.holmes@psych.ox.ac.uk,10.1016/j.jbtep.2010.03.001,Web of Science,England,Europe,3,40,17,0.425,29.05,Between-subject,1,1,0,0,1,1,1,0,0,1,1,10,"Figure 1, page 320",Visuospatial tapping task,Finger tapping,Decrease,No-Task,No-Task,Finger tapping,Indirect Imagery,Task,No-Task,11,14,25,Peri,Trauma Film,Trauma Film,5,13 minutes,Intrusion Frequency,Involuntary memory,Intrusion diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image,Positive,Visuospatial tapping significantly reduced intrusions compared to control condition,NA,NA,Yes,Null,1.46,0.54,1.79,3.77,0.79,2.95,-2.31,t (23) = 2.30,NA,0.031,0.8,Cohen's d,image-based intrusions,1,,,,Film,No,Behavioural,Indirect,Imagery,Task
23,,,108,MMV & SZ,18,1,Behavioural,NA,Verbal interference task,108,2010,Published,Journal Article,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,is it mere distraction? peri-traumatic verbal tasks can increase analogue flashbacks but reduce voluntary memory performance,"Bourne, Corin; Frasquilho, Francisco; Roth, Anthony D.; Holmes, Emily A.",emily.holmes@psych.ox.ac.uk,10.1016/j.jbtep.2010.03.001,Web of Science,England,Europe,3,40,17,0.425,29.05,Between-subject,1,1,0,0,1,1,1,0,0,1,1,10,"Figure 1, page 320",Verbal interference task,Number counting,Increase,No-Task,No-Task,Number counting,Indirect Verbal,Task,No-Task,15,14,29,Peri,Trauma Film,Trauma Film,5,13 minutes,Intrusion Frequency,Involuntary memory,Intrusion diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image,Null,Verbal interference and control condition did not significantly differ in terms of intrusion frequency,NA,NA,Yes,Negative,6.35,1.29,4.98,3.77,0.79,2.95,2.58,t (27) = 1.67,NA,0.11,0.87,Cohen's d,image-based intrusions,1,,,,Film,No,Behavioural,Indirect,Verbal,Task
24,,1,109,MMV & SZ,18,2,Behavioural,NA,Verbal interference task,109,2010,Published,Journal Article,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,is it mere distraction? peri-traumatic verbal tasks can increase analogue flashbacks but reduce voluntary memory performance,"Bourne, Corin; Frasquilho, Francisco; Roth, Anthony D.; Holmes, Emily A.",emily.holmes@psych.ox.ac.uk,10.1016/j.jbtep.2010.03.001,Web of Science,England,Europe,2,38,26,0.684210526,19.68,Between-subject,1,1,0,1,1,1,1,0,0,1,1,10,"Figure 2, page 322",Verbal interference task,Number counting,Increase,No-Task,No-Task,Number counting,Indirect Verbal,Task,No-Task,19,19,38,Peri,Trauma Film,Trauma Film,5,13 minutes,Intrusion Frequency,Involuntary memory,Intrusion diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image,Negative,Verbal interference significantly increased intrusions compared to control condition,NA,NA,Yes,Negative,6.3,0.92,4.03,3.23,0.34,1.47,3.07,t (36) = 2.45,NA,0.02,1.54,Cohen's d,image-based intrusions,1,,,,Film,No,Behavioural,Indirect,Verbal,Task
